year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,all_HGVs,2_axle,3_axle,4_axle,5_axle,6_axle,7_axle,Mean GVW
2023,M60,TM,19,18,383001,405701,53.547666,-2.2580209,E,70,2827,779,207,288,390,1151,11,28405.292639773532
2023,M60,TM,19,18,383001,405701,53.547666,-2.2580209,W,79,3054,1079,198,320,415,1030,12,26428.216764898494
2023,M621,TM,RD SPLIT,1,426500,429600,53.762085,-1.5995049,N,58,1757,797,174,105,121,555,4,24142.99430523918
2023,M621,TM,RD SPLIT,1,426500,429600,53.762085,-1.5995049,S,45,1350,536,157,90,101,463,4,25290.96076980015
2023,M25,TM,23,22,521708,201110,51.695553,-0.240445,E,110,12138,2669,487,580,4037,4347,16,30081.68333882663
2023,M25,TM,23,22,521708,201110,51.695553,-0.240445,W,126,10848,1790,461,545,2983,5054,16,32360.152825145175
2023,M25,TM,17,18,503800,195000,51.644229,-0.50125972,N,78,6877,1463,530,501,812,3558,13,31427.0289370365
2023,M25,TM,17,18,503800,195000,51.644229,-0.50125972,S,66,7601,1473,246,197,1910,3767,10,32653.254110219652
2023,M67,TM,2,3,394490,395211,53.453626,-2.0844405,E,38,1349,387,86,107,355,413,2,27531.306666666667
2023,M67,TM,2,3,394490,395211,53.453626,-2.0844405,W,38,1260,400,87,91,291,389,2,26769.590476190475
2023,M25,TM,3,2,554457,170565,51.413071,0.21964272,N,108,7246,1427,373,445,2273,2716,12,30297.060585150426
2023,M25,TM,3,2,554457,170565,51.413071,0.21964272,S,122,7483,1293,391,478,2172,3137,13,31401.90446285409
2023,M56,TM,M56 spur,14,344643,373500,53.255605,-2.8312166,E,114,5730,1028,306,416,2092,1878,10,29956.053054101223
2023,M56,TM,M56 spur,14,344643,373500,53.255605,-2.8312166,W,83,5765,958,238,326,2055,2179,10,31394.173777315296
2023,M58,TM,1,3,342016,403231,53.522532,-2.8760592,E,39,1435,294,76,101,203,756,4,32032.175034867505
2023,M58,TM,1,3,342016,403231,53.522532,-2.8760592,W,50,1521,259,95,102,173,889,4,33445.26544021025
2023,M20,TM,10,11,608000,138750,51.110288,0.97011179,E,82,3882,270,82,129,2559,840,2,31410.335651725916
2023,M20,TM,10,11,608000,138750,51.110288,0.97011179,W,52,3817,224,99,104,1842,1547,2,33801.57647983237
2023,M25,TM,11,10,505600,161200,51.34009,-0.48535719,N,100,7135,1167,406,549,2509,2493,14,30438.488091902494
2023,M25,TM,11,10,505600,161200,51.34009,-0.48535719,S,81,7021,1475,410,543,3234,1346,14,27523.302905155226
2023,M25,TM,16,15,504000,183357,51.539542,-0.501817,N,66,11406,3820,611,862,1719,4375,21,27716.37210729313
2023,M25,TM,16,15,504000,183357,51.539542,-0.501817,S,77,10990,3896,568,854,1540,4110,24,27106.690320232898
2023,M25,TM,20,21,510000,202901,51.714064,-0.40920576,E,46,8625,2005,466,530,1232,4378,16,31381.311000347745
2023,M25,TM,20,21,510000,202901,51.714064,-0.40920576,W,46,7561,1718,400,525,997,3904,17,31485.07909006745
2023,M25,TM,LA Boundary,27,549300,198760,51.667785,0.15749389,E,19,12908,1714,365,540,3714,6564,11,33866.59745894019
2023,M25,TM,LA Boundary,27,549300,198760,51.667785,0.15749389,W,16,13932,1890,340,592,4083,7015,13,33719.14914232398
2023,M11,TM,9,10,547270,245500,52.088261,0.14808793,N,53,3497,378,127,144,894,1953,2,34491.375929102345
2023,M11,TM,9,10,547270,245500,52.088261,0.14808793,S,37,4380,415,120,135,1400,2308,2,34730.12739726027
2023,M54,TM,4,3,375900,308800,52.676361,-2.3578766,E,72,2945,718,145,209,427,1439,9,30715.8768238887
2023,M54,TM,4,3,375900,308800,52.676361,-2.3578766,W,84,3038,752,144,198,404,1533,8,31123.99210266535
2023,M20,TM,2,2,561000,159600,51.312739,0.30868761,E,33,4277,437,136,367,1247,2083,7,33999.466682253915
2023,M20,TM,2,2,561000,159600,51.312739,0.30868761,W,47,2748,371,81,326,857,1109,6,31406.653818181818
2023,M56,TM,8,7,374250,385200,53.363039,-2.3884026,C,119,3914,586,184,222,469,2444,8,34597.46511627907
2023,M18,TM,M1,M18 SPUR,448325,388413,53.390352,-1.2748273,N,72,5655,598,84,163,2501,2305,4,33337.7068081344
2023,M18,TM,M1,M18 SPUR,448325,388413,53.390352,-1.2748273,S,74,5217,641,107,217,2059,2189,5,32899.56707550786
2023,M4,TM,4,A408,507489,178674,51.496798,-0.45295527,N,190,1512,864,98,188,140,215,8,19427.340383344348
2023,M4,TM,4,A408,507489,178674,51.496798,-0.45295527,S,197,1561,902,100,185,151,215,8,19401.36450992953
2023,M3,TM,4,A331,486850,157970,51.314223,-0.75524918,E,45,2316,545,125,148,557,937,4,29995.777633851467
2023,M3,TM,4,A331,486850,157970,51.314223,-0.75524918,W,24,1256,295,68,81,302,508,2,29973.06687898089
2023,M621,TM,4,5,430490,431176,53.776032,-1.5388281,N,81,2252,959,191,183,291,621,7,24213.920959147425
2023,M621,TM,4,5,430490,431176,53.776032,-1.5388281,S,78,2516,1094,194,220,325,676,7,23778.988473767884
2023,M42,TM,M42 split,Jn1 38,396790,273090,52.355862,-2.0485557,E,54,5854,1327,330,265,936,2991,5,31604.319952169455
2023,M42,TM,M42 split,Jn1 38,396790,273090,52.355862,-2.0485557,W,71,5787,1372,331,239,888,2954,5,31274.21074451546
2023,M18,TM,6,LA Boundary,468457,415863,53.634822,-0.96617331,N,23,5846,615,156,233,2089,2748,5,33967.56192268217
2023,M18,TM,6,LA Boundary,468457,415863,53.634822,-0.96617331,S,26,5956,543,126,220,1695,3368,5,35557.63354037267
2023,M621,TM,A650 SPUR,RD SPLIT,424290,428000,53.747811,-1.6331525,C,29,878,398,87,52,61,278,2,23792.82460136674
2023,M621,TM,A62,SPUR,425000,427910,53.746969,-1.6223938,C,45,1350,536,157,90,101,463,4,24870.40488527017
2023,M60,TM,8,7,378714,393628,53.438993,-2.3218961,E,67,2789,705,235,246,575,1018,10,28688.26389386877
2023,M60,TM,8,7,378714,393628,53.438993,-2.3218961,W,59,2990,805,180,241,354,1400,9,29862.0950150552
2023,M40,TM,16,15,421004,266974,52.300491,-1.6934085,E,131,4818,1319,179,187,486,2638,9,31450.550643420505
